game_id,temp,wind,roof,surface,spread_line,score_diff_final
2023_01_ARI_WAS,,,outdoors,,7.0,4.0
2023_01_BUF_NYJ,,,outdoors,,-2.5,6.0
2023_01_CAR_ATL,,,closed,,3.5,14.0
2023_01_CIN_CLE,,,outdoors,,-1.0,21.0
2023_01_DAL_NYG,,,outdoors,,-3.5,-40.0
2023_01_DET_KC,,,outdoors,,4.0,-1.0
2023_01_GB_CHI,,,outdoors,,1.0,-18.0
2023_01_HOU_BAL,,,outdoors,,9.5,16.0
2023_01_JAX_IND,,,closed,,-4.0,-10.0
2023_01_LA_SEA,,,outdoors,,4.5,-17.0
2023_01_LV_DEN,,,outdoors,,3.0,-1.0
2023_01_MIA_LAC,,,dome,,3.0,-2.0
2023_01_PHI_NE,,,outdoors,,-3.5,-5.0
2023_01_SF_PIT,,,outdoors,,-1.5,-23.0
2023_01_TB_MIN,,,dome,,4.0,-3.0
2023_01_TEN_NO,,,dome,,3.0,1.0
2023_02_BAL_CIN,,,outdoors,,3.5,-3.0
2023_02_CHI_TB,,,outdoors,,2.5,10.0
2023_02_CLE_PIT,,,outdoors,,-2.5,4.0
2023_02_GB_ATL,,,open,,3.0,1.0
2023_02_IND_HOU,,,open,,-1.0,-11.0
2023_02_KC_JAX,,,outdoors,,-3.5,-8.0
2023_02_LAC_TEN,,,outdoors,,-2.5,3.0
2023_02_LV_BUF,,,outdoors,,7.5,28.0
2023_02_MIA_NE,,,outdoors,,-2.0,-7.0
2023_02_MIN_PHI,,,outdoors,,6.0,6.0
2023_02_NO_CAR,,,outdoors,,-3.0,-3.0
2023_02_NYG_ARI,,,closed,,-5.0,-3.0
2023_02_NYJ_DAL,,,open,,8.5,20.0
2023_02_SEA_DET,,,dome,,4.5,-6.0
2023_02_SF_LA,,,dome,,-7.5,-7.0
2023_02_WAS_DEN,,,outdoors,,4.0,-2.0
2023_03_ATL_DET,,,dome,fieldturf,3.0,14.0
2023_03_BUF_WAS,65.0,1.0,outdoors,grass,-5.5,-34.0
2023_03_CAR_SEA,61.0,2.0,outdoors,fieldturf,5.0,10.0
2023_03_CHI_KC,,,outdoors,grass,13.0,31.0
2023_03_DAL_ARI,,,open,grass,-11.5,12.0
2023_03_DEN_MIA,86.0,5.0,outdoors,grass,6.0,50.0
2023_03_HOU_JAX,84.0,6.0,outdoors,grass,7.5,-20.0
2023_03_IND_BAL,68.0,3.0,outdoors,grass,7.5,-3.0
2023_03_LAC_MIN,,,dome,sportturf,1.0,-4.0
2023_03_LA_CIN,74.0,7.0,outdoors,fieldturf,3.0,3.0
2023_03_NE_NYJ,64.0,14.0,outdoors,fieldturf,-2.5,-5.0
2023_03_NO_GB,68.0,10.0,outdoors,grass,-1.5,1.0
2023_03_NYG_SF,77.0,13.0,outdoors,grass,10.5,18.0
2023_03_PHI_TB,90.0,4.0,outdoors,grass,-6.0,-14.0
2023_03_PIT_LV,,,dome,grass,3.0,-5.0
2023_03_TEN_CLE,68.0,5.0,outdoors,grass,3.5,24.0
2023_04_ARI_SF,75.0,9.0,outdoors,grass,15.0,19.0
2023_04_ATL_JAX,,,outdoors,,3.5,16.0
2023_04_BAL_CLE,71.0,7.0,outdoors,grass,-2.0,-25.0
2023_04_CIN_TEN,82.0,4.0,outdoors,grass,-2.5,24.0
2023_04_DEN_CHI,80.0,2.0,outdoors,grass,-3.0,-3.0
2023_04_DET_GB,64.0,8.0,outdoors,grass,-2.5,-14.0
2023_04_KC_NYJ,69.0,5.0,outdoors,fieldturf,-9.5,-3.0
2023_04_LA_IND,,,open,fieldturf,-1.0,-6.0
2023_04_LV_LAC,,,dome,matrixturf,7.0,7.0
2023_04_MIA_BUF,70.0,2.0,outdoors,a_turf,2.5,28.0
2023_04_MIN_CAR,78.0,7.0,outdoors,grass,-4.5,-8.0
2023_04_NE_DAL,,,closed,matrixturf,6.5,35.0
2023_04_PIT_HOU,,,open,astroturf,-3.0,24.0
2023_04_SEA_NYG,67.0,8.0,outdoors,fieldturf,-2.5,-21.0
2023_04_TB_NO,,,dome,sportturf,4.0,-17.0
2023_04_WAS_PHI,,,outdoors,grass,9.5,3.0
2023_05_BAL_PIT,53.0,13.0,outdoors,grass,-4.5,7.0
2023_05_CAR_DET,,,dome,fieldturf,9.5,18.0
2023_05_CHI_WAS,70.0,1.0,outdoors,grass,6.0,-20.0
2023_05_CIN_ARI,,,closed,grass,-3.0,-14.0
2023_05_DAL_SF,78.0,10.0,outdoors,grass,3.5,32.0
2023_05_GB_LV,,,dome,grass,1.0,4.0
2023_05_HOU_ATL,,,open,fieldturf,2.5,2.0
2023_05_JAX_BUF,,,outdoors,,5.5,-5.0
2023_05_KC_MIN,,,dome,sportturf,-3.5,-7.0
2023_05_NO_NE,61.0,10.0,outdoors,fieldturf,2.5,-34.0
2023_05_NYG_MIA,88.0,8.0,outdoors,grass,12.5,15.0
2023_05_NYJ_DEN,73.0,9.0,outdoors,grass,2.5,-10.0
2023_05_PHI_LA,,,dome,matrixturf,-3.5,-9.0
2023_05_TEN_IND,,,open,fieldturf,-2.5,7.0
2023_06_ARI_LA,,,dome,matrixturf,7.0,17.0
2023_06_BAL_TEN,,,outdoors,,-5.5,-8.0
2023_06_CAR_MIA,87.0,12.0,outdoors,grass,14.0,21.0
2023_06_DAL_LAC,,,dome,matrixturf,-1.5,-3.0
2023_06_DEN_KC,,,outdoors,grass,10.5,11.0
2023_06_DET_TB,77.0,13.0,outdoors,grass,-3.0,-14.0
2023_06_IND_JAX,,,outdoors,grass,4.0,17.0
2023_06_MIN_CHI,53.0,16.0,outdoors,grass,-3.0,-6.0
2023_06_NE_LV,,,dome,grass,3.0,4.0
2023_06_NO_HOU,,,closed,astroturf,-2.0,7.0
2023_06_NYG_BUF,46.0,7.0,outdoors,a_turf,15.5,5.0
2023_06_PHI_NYJ,59.0,11.0,outdoors,fieldturf,-6.5,6.0
2023_06_SEA_CIN,57.0,15.0,outdoors,fieldturf,3.0,4.0
2023_06_SF_CLE,53.0,15.0,outdoors,grass,-9.5,2.0
2023_06_WAS_ATL,,,closed,fieldturf,1.5,-8.0
2023_07_ARI_SEA,56.0,5.0,outdoors,fieldturf,9.5,10.0
2023_07_ATL_TB,79.0,3.0,outdoors,grass,3.0,-3.0
2023_07_BUF_NE,55.0,13.0,outdoors,fieldturf,-7.5,4.0
2023_07_CLE_IND,,,open,fieldturf,-3.5,-1.0
2023_07_DET_BAL,62.0,16.0,outdoors,grass,3.0,32.0
2023_07_GB_DEN,72.0,9.0,outdoors,grass,1.5,2.0
2023_07_JAX_NO,,,dome,sportturf,2.5,-7.0
2023_07_LAC_KC,72.0,10.0,outdoors,grass,5.5,14.0
2023_07_LV_CHI,52.0,8.0,outdoors,grass,-2.5,18.0
2023_07_MIA_PHI,55.0,17.0,outdoors,grass,3.0,14.0
2023_07_PIT_LA,,,dome,matrixturf,3.5,-7.0
2023_07_SF_MIN,,,dome,sportturf,-7.0,5.0
2023_07_WAS_NYG,54.0,14.0,outdoors,fieldturf,-3.0,7.0
2023_08_ATL_TEN,77.0,7.0,outdoors,grass,-2.5,5.0
2023_08_BAL_ARI,,,closed,grass,-9.5,-7.0
2023_08_CHI_LAC,,,dome,matrixturf,9.5,17.0
2023_08_CIN_SF,74.0,10.0,outdoors,grass,4.0,-14.0
2023_08_CLE_SEA,47.0,3.0,outdoors,fieldturf,4.0,4.0
2023_08_HOU_CAR,77.0,14.0,outdoors,grass,-3.0,2.0
2023_08_JAX_PIT,58.0,2.0,outdoors,grass,-2.5,-10.0
2023_08_KC_DEN,26.0,7.0,outdoors,grass,-7.0,15.0
2023_08_LA_DAL,,,closed,matrixturf,6.5,23.0
2023_08_LV_DET,,,dome,fieldturf,7.0,12.0
2023_08_MIN_GB,39.0,8.0,outdoors,grass,-1.0,-14.0
2023_08_NE_MIA,83.0,17.0,outdoors,grass,7.5,14.0
2023_08_NO_IND,,,closed,fieldturf,-2.0,-11.0
2023_08_NYJ_NYG,52.0,6.0,outdoors,fieldturf,-3.0,-3.0
2023_08_PHI_WAS,69.0,4.0,outdoors,grass,-7.0,-7.0
2023_08_TB_BUF,66.0,10.0,outdoors,a_turf,10.0,6.0
2023_09_ARI_CLE,56.0,7.0,outdoors,grass,13.0,27.0
2023_09_BUF_CIN,51.0,5.0,outdoors,fieldturf,1.5,6.0
2023_09_CHI_NO,,,dome,sportturf,9.0,7.0
2023_09_DAL_PHI,64.0,6.0,outdoors,grass,3.5,5.0
2023_09_IND_CAR,75.0,2.0,outdoors,grass,-1.5,-14.0
2023_09_LAC_NYJ,48.0,4.0,outdoors,fieldturf,-3.0,-21.0
2023_09_LA_GB,51.0,8.0,outdoors,grass,3.5,17.0
2023_09_MIA_KC,,,outdoors,grass,1.0,7.0
2023_09_MIN_ATL,,,open,fieldturf,3.5,-3.0
2023_09_NYG_LV,,,dome,grass,1.0,24.0
2023_09_SEA_BAL,70.0,6.0,outdoors,grass,6.0,34.0
2023_09_TB_HOU,,,closed,astroturf,2.5,2.0
2023_09_TEN_PIT,40.0,5.0,outdoors,grass,3.5,4.0
2023_09_WAS_NE,62.0,6.0,outdoors,fieldturf,2.5,-3.0
2023_10_ATL_ARI,,,closed,grass,-2.0,2.0
2023_10_CAR_CHI,51.0,8.0,outdoors,grass,3.0,3.0
2023_10_CLE_BAL,49.0,4.0,outdoors,grass,6.0,-2.0
2023_10_DEN_BUF,49.0,10.0,outdoors,a_turf,7.5,-2.0
2023_10_DET_LAC,,,dome,matrixturf,-2.5,-3.0
2023_10_GB_PIT,50.0,5.0,outdoors,grass,3.0,4.0
2023_10_HOU_CIN,56.0,6.0,outdoors,fieldturf,5.5,-3.0
2023_10_IND_NE,,,outdoors,grass,-1.0,-4.0
2023_10_NO_MIN,,,dome,sportturf,-3.0,8.0
2023_10_NYG_DAL,,,closed,matrixturf,17.5,32.0
2023_10_NYJ_LV,,,dome,grass,-1.0,4.0
2023_10_SF_JAX,59.0,11.0,outdoors,grass,-3.0,-31.0
2023_10_TEN_TB,85.0,6.0,outdoors,grass,2.5,14.0
2023_10_WAS_SEA,52.0,4.0,outdoors,fieldturf,6.0,3.0
2023_11_ARI_HOU,,,closed,astroturf,5.5,5.0
2023_11_CHI_DET,,,dome,fieldturf,8.0,5.0
2023_11_CIN_BAL,56.0,1.0,outdoors,grass,4.0,14.0
2023_11_DAL_CAR,65.0,2.0,outdoors,grass,-11.0,-23.0
2023_11_LAC_GB,45.0,5.0,outdoors,grass,-3.0,3.0
2023_11_LV_MIA,82.0,7.0,outdoors,grass,14.0,7.0
2023_11_MIN_DEN,53.0,3.0,outdoors,grass,2.5,1.0
2023_11_NYG_WAS,56.0,7.0,outdoors,grass,7.5,-12.0
2023_11_NYJ_BUF,40.0,9.0,outdoors,a_turf,8.0,26.0
2023_11_PHI_KC,45.0,12.0,outdoors,grass,2.5,-4.0
2023_11_PIT_CLE,48.0,11.0,outdoors,grass,2.5,3.0
2023_11_SEA_LA,,,dome,matrixturf,2.5,1.0
2023_11_TB_SF,65.0,10.0,outdoors,grass,13.5,13.0
2023_11_TEN_JAX,75.0,3.0,outdoors,grass,6.5,20.0
2023_12_BAL_LAC,,,dome,matrixturf,-3.0,-10.0
2023_12_BUF_PHI,47.0,6.0,outdoors,grass,2.5,3.0
2023_12_CAR_TEN,51.0,13.0,outdoors,grass,3.5,7.0
2023_12_CHI_MIN,,,dome,sportturf,3.0,-2.0
2023_12_CLE_DEN,40.0,5.0,outdoors,grass,1.5,17.0
2023_12_GB_DET,,,dome,fieldturf,8.5,-7.0
2023_12_JAX_HOU,,,closed,astroturf,-1.0,-3.0
2023_12_KC_LV,,,dome,grass,-9.0,-14.0
2023_12_LA_ARI,,,closed,grass,-3.0,-23.0
2023_12_MIA_NYJ,48.0,11.0,outdoors,fieldturf,-9.5,-21.0
2023_12_NE_NYG,43.0,6.0,outdoors,fieldturf,-4.5,3.0
2023_12_NO_ATL,,,closed,fieldturf,-2.0,9.0
2023_12_PIT_CIN,48.0,9.0,outdoors,fieldturf,-2.0,-6.0
2023_12_SF_SEA,39.0,4.0,outdoors,fieldturf,-7.0,-18.0
2023_12_TB_IND,,,closed,fieldturf,2.5,7.0
2023_12_WAS_DAL,,,closed,matrixturf,13.0,35.0
2023_13_ARI_PIT,56.0,12.0,outdoors,grass,6.0,-14.0
2023_13_ATL_NYJ,50.0,8.0,outdoors,fieldturf,-2.0,-5.0
2023_13_CAR_TB,81.0,8.0,outdoors,grass,4.0,3.0
2023_13_CIN_JAX,61.0,4.0,outdoors,grass,10.0,-3.0
2023_13_CLE_LA,,,dome,matrixturf,3.5,17.0
2023_13_DEN_HOU,,,closed,astroturf,3.5,5.0
2023_13_DET_NO,,,dome,sportturf,-4.0,-5.0
2023_13_IND_TEN,53.0,13.0,outdoors,grass,-1.5,-3.0
2023_13_KC_GB,31.0,9.0,outdoors,grass,-5.5,8.0
2023_13_LAC_NE,44.0,8.0,outdoors,fieldturf,-4.5,-6.0
2023_13_MIA_WAS,53.0,2.0,outdoors,grass,-8.5,-30.0
2023_13_SEA_DAL,,,closed,matrixturf,9.5,6.0
2023_13_SF_PHI,52.0,44.0,outdoors,grass,-3.0,-23.0
2023_14_BUF_KC,45.0,5.0,outdoors,grass,2.0,-3.0
2023_14_CAR_NO,,,dome,sportturf,5.5,22.0
2023_14_DEN_LAC,,,dome,matrixturf,3.0,-17.0
2023_14_DET_CHI,36.0,12.0,outdoors,grass,-3.0,15.0
2023_14_GB_NYG,39.0,14.0,outdoors,fieldturf,-6.0,2.0
2023_14_HOU_NYJ,58.0,7.0,outdoors,fieldturf,-3.5,24.0
2023_14_IND_CIN,40.0,9.0,outdoors,fieldturf,3.0,20.0
2023_14_JAX_CLE,39.0,11.0,outdoors,grass,2.5,4.0
2023_14_LA_BAL,57.0,5.0,outdoors,grass,7.5,6.0
2023_14_MIN_LV,,,dome,grass,-3.0,-3.0
2023_14_NE_PIT,42.0,5.0,outdoors,grass,6.0,-3.0
2023_14_PHI_DAL,,,closed,matrixturf,3.5,20.0
2023_14_SEA_SF,63.0,5.0,outdoors,grass,14.5,12.0
2023_14_TB_ATL,,,closed,fieldturf,1.5,-4.0
2023_14_TEN_MIA,64.0,9.0,outdoors,grass,14.0,-1.0
2023_15_ATL_CAR,47.0,11.0,outdoors,grass,-3.0,2.0
2023_15_BAL_JAX,58.0,13.0,outdoors,grass,-4.0,-16.0
2023_15_CHI_CLE,45.0,15.0,outdoors,grass,3.0,3.0
2023_15_DAL_BUF,48.0,9.0,outdoors,a_turf,2.0,21.0
2023_15_DEN_DET,,,dome,fieldturf,5.5,25.0
2023_15_HOU_TEN,48.0,9.0,outdoors,grass,3.0,-3.0
2023_15_KC_NE,53.0,7.0,outdoors,fieldturf,-10.0,-10.0
2023_15_LAC_LV,,,dome,grass,3.0,42.0
2023_15_MIN_CIN,53.0,5.0,outdoors,fieldturf,3.0,3.0
2023_15_NYG_NO,,,dome,sportturf,6.0,18.0
2023_15_NYJ_MIA,76.0,15.0,outdoors,grass,7.5,30.0
2023_15_PHI_SEA,46.0,2.0,outdoors,fieldturf,-5.0,3.0
2023_15_PIT_IND,,,closed,fieldturf,1.5,17.0
2023_15_SF_ARI,,,open,grass,-12.5,-16.0
2023_15_TB_GB,42.0,8.0,outdoors,grass,4.0,-14.0
2023_15_WAS_LA,,,dome,matrixturf,6.5,8.0
2023_16_ARI_CHI,52.0,4.0,outdoors,grass,4.5,11.0
2023_16_BAL_SF,56.0,8.0,outdoors,grass,6.5,-14.0
2023_16_BUF_LAC,,,dome,matrixturf,-13.0,-2.0
2023_16_CIN_PIT,49.0,5.0,outdoors,grass,-3.0,23.0
2023_16_CLE_HOU,,,closed,astroturf,-3.0,-14.0
2023_16_DAL_MIA,75.0,15.0,outdoors,grass,1.5,2.0
2023_16_DET_MIN,,,dome,sportturf,-2.5,-6.0
2023_16_GB_CAR,67.0,1.0,outdoors,grass,-3.5,-3.0
2023_16_IND_ATL,,,closed,fieldturf,3.0,19.0
2023_16_JAX_TB,72.0,11.0,outdoors,grass,-2.0,18.0
2023_16_LV_KC,38.0,11.0,outdoors,grass,11.0,-6.0
2023_16_NE_DEN,28.0,9.0,outdoors,grass,7.0,-3.0
2023_16_NO_LA,,,dome,matrixturf,4.0,8.0
2023_16_NYG_PHI,51.0,5.0,outdoors,grass,14.0,8.0
2023_16_SEA_TEN,61.0,4.0,outdoors,grass,-3.0,-3.0
2023_16_WAS_NYJ,45.0,2.0,outdoors,fieldturf,3.0,2.0
2023_17_ARI_PHI,45.0,9.0,outdoors,grass,12.0,-4.0
2023_17_ATL_CHI,32.0,5.0,outdoors,grass,3.0,20.0
2023_17_CAR_JAX,56.0,8.0,outdoors,grass,3.5,26.0
2023_17_CIN_KC,36.0,12.0,outdoors,grass,7.5,8.0
2023_17_DET_DAL,,,closed,matrixturf,5.5,1.0
2023_17_GB_MIN,,,dome,sportturf,1.0,-23.0
2023_17_LAC_DEN,41.0,6.0,outdoors,grass,3.5,7.0
2023_17_LA_NYG,41.0,10.0,outdoors,fieldturf,-6.0,-1.0
2023_17_LV_IND,,,closed,fieldturf,3.5,3.0
2023_17_MIA_BAL,50.0,7.0,outdoors,grass,3.0,37.0
2023_17_NE_BUF,35.0,4.0,outdoors,a_turf,15.0,6.0
2023_17_NO_TB,66.0,5.0,outdoors,grass,2.5,-10.0
2023_17_NYJ_CLE,47.0,6.0,outdoors,grass,6.5,17.0
2023_17_PIT_SEA,47.0,4.0,outdoors,fieldturf,4.5,-7.0
2023_17_SF_WAS,48.0,7.0,outdoors,grass,-14.0,-17.0
2023_17_TEN_HOU,,,closed,astroturf,5.0,23.0
2023_18_ATL_NO,,,dome,sportturf,3.5,31.0
2023_18_BUF_MIA,63.0,6.0,outdoors,grass,-2.5,-7.0
2023_18_CHI_GB,34.0,7.0,outdoors,grass,2.5,8.0
2023_18_CLE_CIN,38.0,12.0,outdoors,fieldturf,7.5,17.0
2023_18_DAL_WAS,48.0,13.0,outdoors,grass,-13.0,-28.0
2023_18_DEN_LV,,,dome,grass,3.5,13.0
2023_18_HOU_IND,,,closed,fieldturf,-1.5,-4.0
2023_18_JAX_TEN,41.0,11.0,outdoors,grass,-3.5,8.0
2023_18_KC_LAC,,,dome,matrixturf,3.5,-1.0
2023_18_LA_SF,52.0,11.0,outdoors,grass,5.5,-1.0
2023_18_MIN_DET,,,dome,fieldturf,3.5,10.0
2023_18_NYJ_NE,33.0,14.0,outdoors,fieldturf,2.5,-14.0
2023_18_PHI_NYG,36.0,12.0,outdoors,fieldturf,-4.5,17.0
2023_18_PIT_BAL,38.0,15.0,outdoors,grass,-3.0,-7.0
2023_18_SEA_ARI,,,closed,grass,-2.5,-1.0
2023_18_TB_CAR,54.0,19.0,outdoors,grass,-5.0,-9.0
2023_19_CLE_HOU,,,closed,astroturf,-2.5,31.0
2023_19_GB_DAL,,,closed,matrixturf,7.0,-16.0
2023_19_LA_DET,,,dome,fieldturf,3.5,1.0
2023_19_MIA_KC,-4.0,19.0,outdoors,grass,4.5,19.0
2023_19_PHI_TB,65.0,2.0,outdoors,grass,-2.5,23.0
2023_19_PIT_BUF,17.0,10.0,outdoors,a_turf,10.0,14.0
2023_20_GB_SF,59.0,8.0,outdoors,grass,10.5,3.0
2023_20_HOU_BAL,27.0,16.0,outdoors,grass,10.0,24.0
2023_20_KC_BUF,25.0,11.0,outdoors,a_turf,2.5,-3.0
2023_20_TB_DET,,,dome,fieldturf,6.0,8.0
2023_21_DET_SF,69.0,5.0,outdoors,grass,7.5,3.0
2023_21_KC_BAL,47.0,7.0,outdoors,grass,4.5,-7.0
2023_22_SF_KC,,,dome,grass,-1.5,3.0
